hts8;mfn_text_rate;mfn_rate_type_code;mfn_ad_val_rate;mfn_specific_rate;new_eu_rate
29026000;Free;0;0;0;15
29027000;Free;0;0;0;15
29029010;Free;0;0;0;15
29029020;Free;0;0;0;15
29029030;Free;0;0;0;15
29029040;Free;0;0;0;15
29029060;Free;0;0;0;15
29029090;Free;0;0;0;15
29031930;Free;0;0;0;15
29036100;Free;0;0;0;15
29036910;Free;0;0;0;15
29037910;Free;0;0;0;15
29038905;Free;0;0;0;15
29038960;Free;0;0;0;15
29039915;Free;0;0;0;15
29039923;Free;0;0;0;15
29042020;Free;0;0;0;15
29051110;Free;0;0;0;15
29051410;Free;0;0;0;15
29053960;Free;0;0;0;15
29054930;Free;0;0;0;15
29055100;Free;0;0;0;15
29055930;Free;0;0;0;15
29061310;Free;0;0;0;15
29061910;Free;0;0;0;15
29062930;Free;0;0;0;15
29071530;Free;0;0;0;15
29071961;Free;0;0;0;15
29072915;Free;0;0;0;15
29081905;Free;0;0;0;15
29089906;Free;0;0;0;15
29091930;Free;0;0;0;15
29093009;Free;0;0;0;15
29094905;Free;0;0;0;15
29094930;Free;0;0;0;15
29110010;Free;0;0;0;15
29122930;Free;0;0;0;15
29124915;Free;0;0;0;15
29125010;Free;0;0;0;15
29130020;Free;0;0;0;15
29141150;Free;0;0;0;15
29142930;Free;0;0;0;15
29143910;Free;0;0;0;15
29144060;Free;0;0;0;15
29145010;Free;0;0;0;15
29146100;Free;0;0;0;15
29146960;Free;0;0;0;15
29147930;Free;0;0;0;15
