hs_8digit;hs_92_origin;description;excluded;source;mapping_method
52084230;5208.42;Plain weave cotton fabrics,>/=85%, >100 g/m2 to 200 g/m2, yarn dyed;0;WTO ATC Annex;both
52084240;5208.42;Plain weave cotton fabrics,>/=85%, >100 g/m2 to 200 g/m2, yarn dyed;0;WTO ATC Annex;both
52084250;5208.42;Plain weave cotton fabrics,>/=85%, >100 g/m2 to 200 g/m2, yarn dyed;0;WTO ATC Annex;both
52084300;5208.43;Twill weave cotton fabric,>/=85%, not more than 200 g/m2, yarn dyed;0;WTO ATC Annex;both
52084920;5208.49;Woven fabrics of cotton,>/=85%,nt more than 200 g/m2, yarn dyed, nes;0;WTO ATC Annex;both
52084940;5208.49;Woven fabrics of cotton,>/=85%,nt more than 200 g/m2, yarn dyed, nes;0;WTO ATC Annex;both
52084960;5208.49;Woven fabrics of cotton,>/=85%,nt more than 200 g/m2, yarn dyed, nes;0;WTO ATC Annex;both
52084980;5208.49;Woven fabrics of cotton,>/=85%,nt more than 200 g/m2, yarn dyed, nes;0;WTO ATC Annex;both
52085120;5208.51;Plain weave cotton fabrics,>/=85%, not more than 100 g/m2, printed;0;WTO ATC Annex;both
52085140;5208.51;Plain weave cotton fabrics,>/=85%, not more than 100 g/m2, printed;0;WTO ATC Annex;both
52085160;5208.51;Plain weave cotton fabrics,>/=85%, not more than 100 g/m2, printed;0;WTO ATC Annex;both
52085180;5208.51;Plain weave cotton fabrics,>/=85%, not more than 100 g/m2, printed;0;WTO ATC Annex;both
52085210;5208.52;Plain weave cotton fabric,>/=85%, >100 g/m2 to 200 g/m2, printed;0;WTO ATC Annex;both
52085230;5208.52;Plain weave cotton fabric,>/=85%, >100 g/m2 to 200 g/m2, printed;0;WTO ATC Annex;both
52085240;5208.52;Plain weave cotton fabric,>/=85%, >100 g/m2 to 200 g/m2, printed;0;WTO ATC Annex;both
52085250;5208.52;Plain weave cotton fabric,>/=85%, >100 g/m2 to 200 g/m2, printed;0;WTO ATC Annex;both
52085910;5208.59;Woven fabrics of cotton,>/=85%, not more than 200 g/m2, printed, nes;0;WTO ATC Annex;both
52085920;5208.59;Woven fabrics of cotton,>/=85%, not more than 200 g/m2, printed, nes;0;WTO ATC Annex;both
52085940;5208.59;Woven fabrics of cotton,>/=85%, not more than 200 g/m2, printed, nes;0;WTO ATC Annex;both
52085960;5208.59;Woven fabrics of cotton,>/=85%, not more than 200 g/m2, printed, nes;0;WTO ATC Annex;both
52085980;5208.59;Woven fabrics of cotton,>/=85%, not more than 200 g/m2, printed, nes;0;WTO ATC Annex;both
52091100;5209.11;Plain weave cotton fabric,>/=85%, more than 200 g/m2, unbleached;0;WTO ATC Annex;both
52091200;5209.12;Twill weave cotton fabric,>/=85%, more than 200 g/m2, unbleached;0;WTO ATC Annex;both
52091900;5209.19;Woven fabrics of cotton,>/=85%,more than 200 g/m2, unbleached, nes;0;WTO ATC Annex;both
52092100;5209.21;Plain weave cotton fabric,>/=85%, more than 200 g/m2, bleached;0;WTO ATC Annex;both
52092200;5209.22;Twill weave cotton fabrics,>/=85%, more than 200 g/m2, bleached;0;WTO ATC Annex;both
52092900;5209.29;Woven fabrics of cotton,>/=85%, more than 200 g/m2, bleached, nes;0;WTO ATC Annex;both
52093130;5209.31;Plain weave cotton fabrics,>/=85%, more than 200 g/m2, dyed;0;WTO ATC Annex;both
52093160;5209.31;Plain weave cotton fabrics,>/=85%, more than 200 g/m2, dyed;0;WTO ATC Annex;both
52093200;5209.32;Twill weave cotton fabrics,>/=85%, more than 200 g/m2, dyed;0;WTO ATC Annex;both
52093900;5209.39;Woven fabrics of cotton,>/=85%, more than 200 g/m2, dyed, nes;0;WTO ATC Annex;both
52094130;5209.41;Plain weave cotton fabrics,>/=85%, more than 200 g/m2, yarn dyed;0;WTO ATC Annex;both
52094160;5209.41;Plain weave cotton fabrics,>/=85%, more than 200 g/m2, yarn dyed;0;WTO ATC Annex;both
52094200;5209.42;Denim fabrics of cotton,>/=85%, more than 200 g/m2;0;WTO ATC Annex;both
52094300;5209.43;Twill weave cotton fab, other than denim,>/=85%,more than 200 g/m2, yarn dyed;0;WTO ATC Annex;both
52094900;5209.49;Woven fabrics of cotton,>/=85%, more than 200 g/m2, yarn dyed, nes;0;WTO ATC Annex;both
52095130;5209.51;Plain weave cotton fabrics,>/=85%, more than 200 g/m2, printed;0;WTO ATC Annex;both
52095160;5209.51;Plain weave cotton fabrics,>/=85%, more than 200 g/m2, printed;0;WTO ATC Annex;both
52095200;5209.52;Twill weave cotton fabrics,>/=85%, more than 200 g/m2, printed;0;WTO ATC Annex;both
52095900;5209.59;Woven fabrics of cotton,>/=85%, more than 200 g/m2, printed, nes;0;WTO ATC Annex;both
52101140;5210.11;Plain weave cotton fab,<85% mixd w m-m fib, not more than 200 g/m2, unbl;0;WTO ATC Annex;both
52101160;5210.11;Plain weave cotton fab,<85% mixd w m-m fib, not more than 200 g/m2, unbl;0;WTO ATC Annex;both
52101180;5210.11;Plain weave cotton fab,<85% mixd w m-m fib, not more than 200 g/m2, unbl;0;WTO ATC Annex;both
52101910;5210.19;Woven fab of cotton,<85% mixd with m-m fib,</=200 g/m2, unbl, nes;0;WTO ATC Annex;both
52101920;5210.19;Woven fab of cotton,<85% mixd with m-m fib,</=200 g/m2, unbl, nes;0;WTO ATC Annex;both
