hs_8digit;rate_type;import_origin;exception_type;effective_date;end_date;source
27060000;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27060000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27071000;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27071000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27072000;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27072000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27073000;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27073000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27074000;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27074000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27075000;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27075000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27079100;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27079100;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27079910;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27079910;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27079920;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27079920;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27079940;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27079940;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27079951;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27079951;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27079955;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27079955;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
